"name","rank","industry","headquarters_state","year","headquarters_city","revenue_percent_change","profits_percent_change","total_shareholder_equity","profit_percent_sales","profit_percent_assets","profit_percent_shareholder_equity","stockholders_equity","profit_as_a_percent_of_sales","profit_as_a_percent_of_assets","profit_as_a_percent_of_shareholder_equity","gained_in_rank","dropped_in_rank","newcomer","profitable","founder_is_ceo","foreign_born_ceo","female_ceo","growth_in_jobs","sector","employees","newcomer_to_the_fortune_500","global_500","best_companies","worlds_most_admired_companies","change_the_world","fastest_growing_companies","change_in_rank_full_1000","change_in_rank_500_only","measure_up","measure_up_rank","profit_mil","asset_mil","revenue_mil","market_value_mil"
"BB&T Corporation",265,"Commercial Banks","NC",2007,"Winston-Salem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9414.8,
"Parker-Hannifin Corporation",266,"Industrial and Farm Equipment","OH",2007,"Cleveland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9407.6,
"Norfolk Southern Corporation",267,"Railroads","VA",2007,"Norfolk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9407,
"S&C Holdco 3, Inc.",268,"Food Consumer Products","CO",2007,"Greeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9350,
"H.J. Heinz Company",269,"Food Consumer Products","PA",2007,"Pittsburgh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9331.4,
"CenterPoint Energy, Inc.",270,"Utilities: Gas and Electric","TX",2007,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9319,
"R.R. Donnelley & Sons Company",271,"Publishing, Printing","IL",2007,"Chicago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9316.6,
"Automatic Data Processing, Inc.",272,"Payroll Services","NJ",2007,"Roseland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9263.2,
"Dollar General Corporation",273,"General Merchandisers","TN",2007,"Goodlettsville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9169.8,
"Applied Materials, Inc.",274,"Semiconductors and Other Electronic Components","CA",2007,"Santa Clara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9167,
"Air Products & Chemicals, Inc",275,"Chemicals","PA",2007,"Allentown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9158.8,
"Southwest Airlines Co.",276,"Airlines","TX",2007,"Dallas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9086,
"Lincoln National Corporation",277,"Insurance: Life, Health (Stock)","PA",2007,"Philadelphia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9062.9,
"Baker Hughes Incorporated",278,"Oil and Gas Equipment, Services","TX",2007,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9034.1,
"DTE Energy Company",279,"Utilities: Gas and Electric","MI",2007,"Detroit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9024,
"OfficeMax Incorporated",280,"Specialty Retailers","IL",2007,"Naperville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8965.7,
"Liberty Media Corporation",281,"Internet Services and Retailing","CO",2007,"Englewood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8948,
"Lucent Technologies Inc.",282,"Network and Other Communications Equipment","NJ",2007,"Murray Hill",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8796,
"Avon Products, Inc.",283,"Household and Personal Products","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8763.9,
"SLM Corporation",284,"Diversified Financials","VA",2007,"Reston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8751.2,
"Sonic Automotive, Inc.",285,"Automotive Retailing, Services","NC",2007,"Charlotte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8706.4,
"Nordstrom, Inc.",286,"General Merchandisers","WA",2007,"Seattle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8560.7,
"BJ's Wholesale Club, Inc.",287,"Specialty Retailers","MA",2007,"Natick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8524.2,
"Reynolds American Inc.",288,"Tobacco","NC",2007,"Winston-Salem",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8510,
"The First American Corporation",289,"Insurance: Property and Casualty (Stock)","CA",2007,"Santa Ana",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8499.1,
"Pepco Holdings, Inc.",290,"Utilities: Gas and Electric","DC",2007,"Washington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8362.9,
"Praxair, Inc.",291,"Chemicals","CT",2007,"Danbury",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8324,
"Rohm and Haas Company",292,"Chemicals","PA",2007,"Philadelphia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8308,
"Apache Corporation",293,"Mining, Crude-Oil Production","TX",2007,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8288.8,
"Fortune Brands, Inc.",294,"Home Equipment, Furnishings","IL",2007,"Deerfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8255,
"ITT Corporation",295,"Industrial and Farm Equipment","NY",2007,"White Plains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8185.9,
"Hilton Hotels Corporation",296,"Hotels, Casinos, Resorts","CA",2007,"Beverly Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8162,
"Ameriprise Financial, Inc.",297,"Diversified Financials","MN",2007,"Minneapolis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8140,
"SAIC, Inc.",298,"Information Technology Services","CA",2007,"San Diego",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8127,
"Fifth Third Bancorp",299,"Commercial Banks","OH",2007,"Cincinnati",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8108,
"Assurant, Inc.",300,"Insurance: Life, Health (Stock)","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8070.6,
"Hertz Global Holdings, Inc.",301,"Automotive Retailing, Services","NJ",2007,"Park Ridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8058.4,
"Gannett Co., Inc.",302,"Publishing, Printing","VA",2007,"McLean",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8033.4,
"Smurfit-Stone Container Corporation",303,"Packaging, Containers","IL",2007,"Chicago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7944,
"Mohawk Industries, Inc.",304,"zMiscellaneous","GA",2007,"Calhoun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7905.8,
"Winn-Dixie Stores, Inc.",305,"Food & Drug Stores","FL",2007,"Jacksonville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7878.2,
"Energy Transfer Equity, L.P.",306,"Energy","TX",2007,"Dallas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7859.1,
"Dillard's Inc.",307,"General Merchandisers","AR",2007,"Little Rock",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7849.4,
"Boston Scientific Corporation",308,"Medical Products and Equipment","MA",2007,"Natick",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7821,
"The Sherwin-Williams Company",309,"Chemicals","OH",2007,"Cleveland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7809.8,
"Starbucks Corporation",310,"Food Services","WA",2007,"Seattle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7786.9,
"Campbell Soup Co.",311,"Food Consumer Products","NJ",2007,"Camden",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7778,
"Regions Financial Corporation",312,"Commercial Banks","AL",2007,"Birmingham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7756.4,
"Coventry Health Care Inc.",313,"Health Care: Insurance and Managed Care","MD",2007,"Bethesda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7733.8,
"Terex Corporation",314,"Industrial and Farm Equipment","CT",2007,"Westport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7647.6,
"MGM MIRAGE",315,"Hotels, Casinos, Resorts","NV",2007,"Las Vegas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7588,
"Commercial Metals Company",316,"Metals","TX",2007,"Irving",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7555.9,
"Qualcomm, Inc.",317,"Network and Other Communications Equipment","CA",2007,"San Diego",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7526,
"Owens-Illinois, Inc.",318,"Packaging, Containers","OH",2007,"Perrysburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7523.5,
"KeyCorp",319,"Commercial Banks","OH",2007,"Cleveland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7507,
"NiSource Inc.",320,"Utilities: Gas and Electric","IN",2007,"Merrillville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7495.9,
"Eastman Chemical Company",321,"Chemicals","TN",2007,"Kingsport",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7450,
"Jacobs Engineering Group Inc.",322,"Engineering & Construction","CA",2007,"Pasadena",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7421.3,
"Monsanto Company",323,"Chemicals","MO",2007,"St. Louis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7344,
"Smith International, Inc.",324,"Oil and Gas Equipment, Services","TX",2007,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7333.6,
"Chesapeake Energy Corporation",325,"Mining, Crude-Oil Production","OK",2007,"Oklahoma City",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7325.6,
"Keyspan Corporation",326,"Utilities: Gas and Electric","NY",2007,"Brooklyn",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7181.6,
"Dover Corporation",327,"Industrial and Farm Equipment","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7179.6,
"Crown Holdings, Inc.",328,"Packaging, Containers","PA",2007,"Philadelphia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7140,
"Land O'Lakes, Inc.",329,"Food Consumer Products","MN",2007,"Arden Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7102.3,
"Clear Channel Communications, Inc.",330,"Entertainment","TX",2007,"San Antonio",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7099.4,
"First Data Corporation",331,"Financial Data Services","CO",2007,"Greenwood Village",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7076.4,
"V.F. Corporation",332,"Apparel","NC",2007,"Greensboro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7033.5,
"National Oilwell Varco, Inc.",333,"Oil and Gas Equipment, Services","TX",2007,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7025.8,
"Integrys Energy Group, Inc.",334,"Energy","IL",2007,"Chicago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6979.2,
"CIT Group, Inc.",335,"Diversified Financials","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6927.7,
"PPL Corporation",336,"Utilities: Gas and Electric","PA",2007,"Allentown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6904,
"Northeast Utilities",337,"Utilities: Gas and Electric","CT",2007,"Berlin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6897.4,
"American Family Ins. Group",338,"Insurance: Property and Casualty (Stock)","WI",2007,"Madison",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6893.1,
"Ameren Corporation",339,"Utilities: Gas and Electric","MO",2007,"St. Louis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6880,
"Liberty Global, Inc.",340,"Telecommunications","CO",2007,"Englewood",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6812.9,
"CMS Energy Corporation",341,"Utilities: Gas and Electric","MI",2007,"Jackson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6810,
"CDW Corporation",342,"Wholesalers: Electronics and Office Equipment","IL",2007,"Vernon Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6785.5,
"Newell Rubbermaid Inc.",343,"Home Equipment, Furnishings","GA",2007,"Atlanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6709.5,
"Calpine Corporation",344,"Energy","CA",2007,"San Jose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6705.8,
"IAC/INTERACTIVECORP",345,"Internet Services and Retailing","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6684.2,
"Celanese Corporation",352,"Household and Personal Products","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6508.9,
"Virgin Media Inc.",347,"Telecommunications","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6637.4,
"Ball Corporation",348,"Packaging, Containers","CO",2007,"Broomfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6621.5,
"C. H. Robinson Worldwide, Inc.",349,"Transportation and Logistics","MN",2007,"Eden Prairie",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6556.2,
"MeadWestvaco Corporation",350,"Packaging, Containers","VA",2007,"Glen Allen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6530,
"Enbridge Energy Partners, L.P.",351,"Pipelines","TX",2007,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6509,
"Omnicare, Inc.",353,"Health Care: Pharmacy and Other Services","KY",2007,"Covington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6493,
"Realogy Corporation",354,"Real Estate","NJ",2007,"Parsippany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6492,
"Owens Corning",355,"Building Materials, Glass","OH",2007,"Toledo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6461,
"The Black & Decker Corporation",356,"Industrial and Farm Equipment","MD",2007,"Towson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6447.3,
"Yahoo! Inc.",357,"Internet Services and Retailing","CA",2007,"Sunnyvale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6425.7,
"Mellon Financial Corporation",358,"Commercial Banks","PA",2007,"Pittsburgh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6395,
"Family Dollar Stores, Inc.",359,"General Merchandisers","NC",2007,"Matthews",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6394.8,
"Synnex Corp.",360,"Wholesalers: Electronics and Office Equipment","CA",2007,"Fremont",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6343.5,
"Federal-Mogul Corporation",361,"Motor Vehicles & Parts","MI",2007,"Southfield",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6326.4,
"Ryder System, Inc.",362,"Trucking, Truck Leasing","FL",2007,"Miami",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6306.6,
"Safeco Corporation",363,"Insurance: Property and Casualty (Stock)","WA",2007,"Seattle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6289.9,
"Quest Diagnostics Incorporated",364,"Health Care: Pharmacy and Other Services","NJ",2007,"Lyndhurst",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6272.3,
"CarMax, Inc.",365,"Automotive Retailing, Services","VA",2007,"Richmond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6260,
"The McGraw-Hill Companies, Inc.",366,"Publishing, Printing","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6255.1,
"Dole Food Company, Inc.",367,"Food Consumer Products","CA",2007,"Westlake Village",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6219.3,
"The Interpublic Group of Companies, Inc.",368,"Advertising, Marketing","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6190.8,
"Harley-Davidson, Inc.",369,"Transportation Equipment","WI",2007,"Milwaukee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6185.6,
"Thrivent Financial for Lutherans",370,"Insurance: Life, Health (Mutual)","MN",2007,"Minneapolis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6164.6,
"NVR, Inc.",371,"Homebuilders","VA",2007,"Reston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6156.8,
"Atmos Energy Corporation",372,"Utilities: Gas and Electric","TX",2007,"Dallas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6152.4,
"Hovnanian Enterprises, Inc.",373,"Homebuilders","NJ",2007,"Red Bank",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6148.2,
"NCR Corporation",374,"Computers, Office Equipment","OH",2007,"Dayton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6142,
"Toll Brothers, Inc.",375,"Homebuilders","PA",2007,"Horsham",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6123.5,
"Autoliv, Inc.",376,"Motor Vehicles & Parts","MI",2007,"Auburn Hills",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6118,
"Group 1 Automotive, Inc.",377,"Automotive Retailing, Services","TX",2007,"Houston",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6083.5,
"AK Steel Holding Corporation",378,"Metals","OH",2007,"Middletown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6069,
"Allied Waste Industries",379,"Waste Management","AZ",2007,"Phoenix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6028.8,
"Cablevision Systems Corporation",380,"Telecommunications","NY",2007,"Bethpage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6006.7,
"Starwood Hotels & Resorts Worldwide, Inc.",381,"Hotels, Casinos, Resorts","NY",2007,"White Plains",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5979,
"Brunswick Corporation",382,"Transportation Equipment","IL",2007,"Lake Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5971.3,
"eBay Inc.",383,"Internet Services and Retailing","CA",2007,"San Jose",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5969.7,
"AutoZone, Inc.",384,"Specialty Retailers","TN",2007,"Memphis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5948.4,
"Ryerson Inc.",385,"Wholesalers: Diversified","IL",2007,"Chicago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5908.9,
"Molson Coors Brewing Company",386,"Beverages","CO",2007,"Denver",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5902.8,
"Agilent Technologies, Inc.",387,"Scientific, Photographic and Control Equipment","CA",2007,"Santa Clara",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5891,
"W.W. Grainger, Inc.",388,"Wholesalers: Diversified","IL",2007,"Lake Forest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5883.7,
"The Charles Schwab Corporation",389,"Securities","CA",2007,"San Francisco",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5880,
"Goodrich Corporation",390,"Aerospace & Defense","NC",2007,"Charlotte",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5878.3,
"Asbury Automotive Group, Inc.",391,"Automotive Retailing, Services","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5863.1,
"Becton, Dickinson and Company",392,"Medical Products and Equipment","NJ",2007,"Franklin Lakes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5834.8,
"Performance Food Group Company",393,"Wholesalers: Food and Grocery","VA",2007,"Richmond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5826.7,
"NRG Energy, Inc.",394,"Energy","NJ",2007,"Princeton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5812,
"Pitney Bowes Inc.",395,"Computers, Office Equipment","CT",2007,"Stamford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5811.2,
"USG Corporation",396,"Building Materials, Glass","IL",2007,"Chicago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5810,
"Bed Bath & Beyond, Inc.",397,"Specialty Retailers","NJ",2007,"Union",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5809.6,
"Freeport-McMoRan Copper & Gold, Inc.",398,"Mining, Crude-Oil Production","LA",2007,"New Orleans",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5790.5,
"Boise Cascade Holdings, L.L.C.",399,"Forest and Paper Products","ID",2007,"Boise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5779.9,
"Unisys Corporation",400,"Information Technology Services","PA",2007,"Blue Bell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5757.2,
"Foot Locker, Inc.",401,"Specialty Retailers","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5750,
"Reliance Steel & Aluminum Co.",402,"Wholesalers: Diversified","CA",2007,"Los Angeles",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5748.4,
"Hormel Foods Corporation",403,"Food Consumer Products","MN",2007,"Austin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5745.5,
"Darden Restaurants, Inc.",404,"Food Services","FL",2007,"Orlando",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5720.6,
"Avis Budget Group, Inc.",405,"Automotive Retailing, Services","NJ",2007,"Parsippany",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5689,
"Mattel, Inc.",406,"Toys, Sporting Goods","CA",2007,"El Segundo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5650.2,
"Advanced Micro Devices, Inc.",407,"Semiconductors and Other Electronic Components","CA",2007,"Sunnyvale",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5649,
"Kelly Services, Inc.",408,"Temporary Help","MI",2007,"Troy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5639,
"Charter Communications, Inc.",409,"Telecommunications","MO",2007,"St. Louis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5613,
"Blockbuster Inc.",410,"Specialty Retailers","TX",2007,"Dallas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5611.3,
"Whole Foods Market, Inc.",411,"Food & Drug Stores","TX",2007,"Austin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5607.4,
"Avery Dennison Corporation",412,"Chemicals","CA",2007,"Pasadena",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5583.1,
"Tribune Company",413,"Publishing, Printing","IL",2007,"Chicago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5582.6,
"Temple-Inland Inc.",414,"Packaging, Containers","TX",2007,"Austin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5581,
"Ross Stores, Inc.",415,"Specialty Retailers","CA",2007,"Pleasanton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5570.2,
"Rockwell Automation Inc.",416,"Electronics, Electrical Equipment","WI",2007,"Milwaukee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5561.4,
"Triad Hospitals, Inc.",417,"Health Care: Medical Facilities","TX",2007,"Plano",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5537.9,
"Owens & Minor, Inc.",418,"Wholesalers: Health Care","VA",2007,"Mechanicsville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5533.7,
"Leggett & Platt, Incorporated",419,"Furniture","MO",2007,"Carthage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5505.4,
"Beazer Homes USA, Inc.",420,"Homebuilders","GA",2007,"Atlanta",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5462,
"AGCO Corporation",421,"Industrial and Farm Equipment","GA",2007,"Duluth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5435,
"Stryker Corporation",422,"Medical Products and Equipment","MI",2007,"Kalamazoo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5405.6,
"W.R. Berkley Corporation",423,"Insurance: Property and Casualty (Stock)","CT",2007,"Greenwich",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5394.8,
"Affiliated Computer Services, Inc.",424,"Information Technology Services","TX",2007,"Dallas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5353.7,
"WESCO International, Inc.",425,"Wholesalers: Diversified","PA",2007,"Pittsburgh",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5320.6,
"GameStop Corp.",426,"Specialty Retailers","TX",2007,"Grapevine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5318.9,
"The Mosaic Company",427,"Chemicals","MN",2007,"Plymouth",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5305.8,
"The Timken Company",428,"Industrial and Farm Equipment","OH",2007,"Canton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5301.5,
"Micron Technology, Inc.",429,"Semiconductors and Other Electronic Components","ID",2007,"Boise",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5272,
"Barnes & Noble Inc.",430,"Specialty Retailers","NY",2007,"New York",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5261.3,
"Peabody Energy Corporation",431,"Mining, Crude-Oil Production","MO",2007,"St. Louis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5256.3,
"Pilgrim's Pride Corporation",432,"Food Production","TX",2007,"Pittsburg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5235.6,
"Hexion Specialty Chemicals, Inc.",433,"Chemicals","OH",2007,"Columbus",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5233,
"Energy East Corporation",434,"Utilities: Gas and Electric","ME",2007,"New Gloucester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5230.7,
"UGI Corporation",435,"Energy","PA",2007,"King of Prussia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5221,
"The Pantry, Inc.",436,"Specialty Retailers","NC",2007,"Sanford",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5211.2,
"Pacific Life",437,"Insurance: Life, Health (Stock)","CA",2007,"Newport Beach",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5201.9,
"Henry Schein, Inc.",438,"Wholesalers: Health Care","NY",2007,"Melville",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5191,
"Corning Inc.",439,"Network and Other Communications Equipment","NY",2007,"Corning",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5174,
"Avaya Inc.",440,"Network and Other Communications Equipment","NJ",2007,"Basking Ridge",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5148,
"Marshall & Ilsley Corporation",441,"Commercial Banks","WI",2007,"Milwaukee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5127.9,
"Lexmark International, Inc.",442,"Computer Peripherals","KY",2007,"Lexington",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5108.1,
"Longs Drug Stores Corporation",443,"Food & Drug Stores","CA",2007,"Walnut Creek",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5097.1,
